Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Good or bad indicator
no checking account,24,critical account,furniture/equipment,3777,>=1000DM,"[1,4years]",4,male:single,none,4,real estate,50,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",18,critical account,car(new),884,<100DM,>=7years,4,male:single,none,4,car or other,36, bank,own,1,0,2,yes,yes,1
no checking account,15,critical account,radio/television,1360,<100DM,"[1,4years]",4,male:single,none,2,life insurance,31,none,own,2,0,1,no,yes,0
"[0DM,200DM]",9,all credits at this bank paid back duly,car(used),5129,<100DM,>=7years,2,female:divorced/separated/married,none,4,no property,74, bank,for free,1,1,2,yes,yes,1
"[0DM,200DM]",16,critical account,car(new),1175,<100DM,unemployed,2,male:single,none,3,car or other,68,none,for free,3,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,radio/television,674,"[100,500DM]","[4,7years]",4,male:married/widowed,none,1,life insurance,20,none,own,1,0,1,no,yes,1
"[0DM,200DM]",18,nocreditstaken,furniture/equipment,3244,<100DM,"[1,4years]",1,female:divorced/separated/married,none,4,car or other,33, bank,own,2,0,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,business,4591,>=1000DM,"[1,4years]",2,male:single,none,3,life insurance,54,none,own,3,0,1,yes,yes,1
"[0DM,200DM]",48,nocreditstaken,business,3844,"[100,500DM]","[4,7years]",4,male:single,none,4,no property,34,none,for free,1,0,2,no,yes,1
"[0DM,200DM]",27,existing credits paid back duly till now,business,3915,<100DM,"[1,4years]",4,male:single,none,2,car or other,36,none,own,1,0,2,yes,yes,1
no checking account,6,existing credits paid back duly till now,radio/television,2108,<100DM,"[4,7years]",2,male:married/widowed,none,2,real estate,29,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",45,existing credits paid back duly till now,radio/television,3031,"[100,500DM]","[1,4years]",4,male:single,guarantor,4,life insurance,21,none,rent,1,0,1,no,yes,1
"[0DM,200DM]",9,critical account,education,1501,<100DM,>=7years,2,female:divorced/separated/married,none,3,car or other,34,none,own,2,0,1,yes,yes,1
no checking account,6,critical account,radio/television,1382,<100DM,"[1,4years]",1,female:divorced/separated/married,none,1,car or other,28,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,furniture/equipment,951,"[100,500DM]",<1year,4,female:divorced/separated/married,none,4,car or other,27, bank,rent,4,0,1,no,yes,1
"[0DM,200DM]",24,existing credits paid back duly till now,car(used),2760,unknown,>=7years,4,male:single,none,4,no property,36, bank,for free,1,1,1,yes,yes,0
"[0DM,200DM]",18,delay in paying off in the past,furniture/equipment,4297,<100DM,>=7years,4,male:divorced/separated,none,3,no property,40,none,own,1,0,1,yes,yes,1
no checking account,9,critical account,education,936,"[500,1000DM]",>=7years,4,male:single,none,2,car or other,52,none,own,2,0,1,yes,yes,0
<0DM,12,existing credits paid back duly till now,car(new),1168,<100DM,"[1,4years]",4,male:married/widowed,none,3,real estate,27,none,own,1,0,1,no,yes,0
no checking account,27,delay in paying off in the past,business,5117,<100DM,"[4,7years]",3,male:single,none,4,car or other,26,none,own,2,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,retraining,902,<100DM,"[4,7years]",4,male:married/widowed,none,4,life insurance,21,none,rent,1,0,1,no,yes,1
no checking account,12,critical account,car(new),1495,<100DM,>=7years,4,male:single,none,1,real estate,38,none,own,2,0,2,no,yes,0
<0DM,30,critical account,car(used),10623,<100DM,>=7years,3,male:single,none,4,no property,38,none,for free,3,1,2,yes,yes,0
no checking account,12,critical account,furniture/equipment,1935,<100DM,>=7years,4,male:single,none,4,real estate,43,none,own,3,0,1,yes,yes,0
"[0DM,200DM]",12,critical account,domesticappliances,1424,<100DM,"[4,7years]",4,male:single,none,3,life insurance,26,none,own,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,business,6568,<100DM,"[1,4years]",2,male:married/widowed,none,2,car or other,21,stores,own,1,0,1,no,yes,0
no checking account,12,existing credits paid back duly till now,car(used),1413,>=1000DM,"[4,7years]",3,male:single,none,2,life insurance,55,none,own,1,1,1,no,no,0
no checking account,9,critical account,radio/television,3074,unknown,"[1,4years]",1,male:single,none,2,real estate,33,none,own,2,0,2,no,yes,0
no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown,>=7years,2,female:divorced/separated/married,none,4,real estate,45,none,own,1,0,1,yes,yes,0
<0DM,27,nocreditstaken,business,5293,<100DM,unemployed,2,male:single,none,4,life insurance,50,stores,own,2,0,1,yes,yes,1
>=200DM,30,delay in paying off in the past,business,1908,<100DM,>=7years,4,male:single,none,4,real estate,66,none,own,1,0,1,yes,yes,1
no checking account,36,critical account,radio/television,3342,unknown,>=7years,4,male:single,none,2,car or other,51,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",6,critical account,retraining,932,unknown,"[4,7years]",1,female:divorced/separated/married,none,3,life insurance,39,none,own,2,0,1,no,yes,0
<0DM,18,nocreditstaken,business,3104,<100DM,"[4,7years]",3,male:single,none,1,life insurance,31, bank,own,1,0,1,yes,yes,0
>=200DM,36,existing credits paid back duly till now,radio/television,3913,<100DM,"[1,4years]",2,male:single,none,2,real estate,23,none,own,1,0,1,yes,yes,0
<0DM,24,existing credits paid back duly till now,furniture/equipment,3021,<100DM,"[1,4years]",2,male:divorced/separated,none,2,real estate,24,none,rent,1,0,1,no,yes,0
no checking account,10,existing credits paid back duly till now,car(new),1364,<100DM,"[1,4years]",2,female:divorced/separated/married,none,4,car or other,64,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,625,<100DM,<1year,4,male:married/widowed,guarantor,1,real estate,26, bank,own,1,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,education,1200,unknown,"[1,4years]",4,female:divorced/separated/married,none,4,life insurance,23, bank,rent,1,0,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,707,<100DM,"[1,4years]",4,male:single,none,2,real estate,30, bank,own,2,0,1,no,yes,0
no checking account,24,delay in paying off in the past,business,2978,unknown,"[1,4years]",4,male:single,none,4,real estate,32,none,own,2,0,2,yes,yes,0
no checking account,15,existing credits paid back duly till now,car(used),4657,<100DM,"[1,4years]",3,male:single,none,2,car or other,30,none,own,1,1,1,yes,yes,0
no checking account,36,nocreditstaken,repairs,2613,<100DM,"[1,4years]",4,male:single,none,2,car or other,27,none,own,2,0,1,no,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,radio/television,10961,>=1000DM,"[4,7years]",1,male:single,co-applicant,2,no property,27, bank,own,2,0,1,yes,yes,1
<0DM,12,existing credits paid back duly till now,furniture/equipment,7865,<100DM,>=7years,4,male:single,none,4,no property,53,none,for free,1,0,1,yes,yes,1
no checking account,9,existing credits paid back duly till now,radio/television,1478,<100DM,"[4,7years]",4,male:single,none,2,car or other,22,none,own,1,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,furniture/equipment,3149,<100DM,<1year,4,male:single,none,1,no property,22, bank,for free,1,0,1,no,yes,0
>=200DM,36,existing credits paid back duly till now,radio/television,4210,<100DM,"[1,4years]",4,male:single,none,2,car or other,26,none,own,1,0,1,no,yes,1
no checking account,9,existing credits paid back duly till now,car(new),2507,"[500,1000DM]",>=7years,2,male:single,none,4,no property,51,none,for free,1,0,1,no,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,2141,"[100,500DM]","[4,7years]",3,male:single,none,1,no property,35,none,own,1,0,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,radio/television,866,<100DM,"[1,4years]",4,male:married/widowed,guarantor,2,real estate,25,none,own,1,0,1,no,yes,0
no checking account,4,critical account,radio/television,1544,<100DM,"[4,7years]",2,male:single,none,1,real estate,42,none,own,3,0,2,no,yes,0
<0DM,24,existing credits paid back duly till now,radio/television,1823,<100DM,unemployed,4,male:single,none,2,car or other,30,stores,own,1,0,2,no,yes,1
"[0DM,200DM]",6,existing credits paid back duly till now,car(new),14555,unknown,unemployed,1,male:single,none,2,life insurance,23,none,own,1,0,1,yes,yes,1
"[0DM,200DM]",21,existing credits paid back duly till now,business,2767,"[100,500DM]",>=7years,4,male:divorced/separated,none,2,car or other,61, bank,rent,2,0,1,no,yes,1
no checking account,12,critical account,radio/television,1291,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,life insurance,35,none,own,2,0,1,no,yes,0
<0DM,30,existing credits paid back duly till now,radio/television,2522,<100DM,>=7years,1,male:single,guarantor,3,life insurance,39,none,own,1,0,2,no,yes,0
<0DM,24,existing credits paid back duly till now,car(new),915,unknown,>=7years,4,female:divorced/separated/married,none,2,car or other,29, bank,own,1,0,1,no,yes,1
no checking account,6,existing credits paid back duly till now,radio/television,1595,<100DM,"[4,7years]",3,male:single,none,2,life insurance,51,none,own,1,0,2,no,yes,0
<0DM,48,nocreditstaken,car(used),4605,<100DM,>=7years,3,male:single,none,4,no property,24,none,for free,2,1,2,no,yes,1
no checking account,12,critical account,business,1185,<100DM,"[1,4years]",3,female:divorced/separated/married,none,2,real estate,27,none,own,2,0,1,no,yes,0
no checking account,12,all credits at this bank paid back duly,retraining,3447,"[500,1000DM]","[1,4years]",4,female:divorced/separated/married,none,3,real estate,35,none,own,1,0,2,no,yes,0
no checking account,24,existing credits paid back duly till now,business,1258,<100DM,"[4,7years]",4,male:single,none,1,real estate,25,none,own,1,0,1,yes,yes,0
no checking account,12,critical account,radio/television,717,<100DM,>=7years,4,male:single,none,4,real estate,52,none,own,3,0,1,no,yes,0
no checking account,6,nocreditstaken,car(new),1204,"[100,500DM]","[1,4years]",4,male:single,none,1,no property,35, bank,rent,1,0,1,no,no,0
>=200DM,24,existing credits paid back duly till now,furniture/equipment,1925,<100DM,"[1,4years]",2,male:single,none,2,real estate,26,none,own,1,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,433,<100DM,unemployed,3,female:divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,0,1,no,yes,1
<0DM,6,critical account,car(new),666,>=1000DM,"[4,7years]",3,female:divorced/separated/married,none,4,real estate,39,none,own,2,0,1,yes,yes,0
>=200DM,12,existing credits paid back duly till now,furniture/equipment,2251,<100DM,"[1,4years]",1,female:divorced/separated/married,none,2,car or other,46,none,own,1,0,1,no,yes,0
"[0DM,200DM]",30,existing credits paid back duly till now,car(new),2150,<100DM,"[1,4years]",4,female:divorced/separated/married,guarantor,2,no property,24, bank,own,1,0,1,no,yes,1
no checking account,24,delay in paying off in the past,furniture/equipment,4151,"[100,500DM]","[1,4years]",2,male:single,none,3,life insurance,35,none,own,2,0,1,no,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,furniture/equipment,2030,unknown,"[4,7years]",2,male:single,none,1,car or other,24,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",60,delay in paying off in the past,radio/television,7418,unknown,"[1,4years]",1,male:single,none,1,real estate,27,none,own,1,0,1,no,yes,0
no checking account,24,critical account,radio/television,2684,<100DM,"[1,4years]",4,male:single,none,2,real estate,35,none,own,2,0,1,no,yes,0
<0DM,12,all credits at this bank paid back duly,radio/television,2149,<100DM,"[1,4years]",4,male:divorced/separated,none,1,no property,29,none,for free,1,0,1,no,yes,1
no checking account,15,existing credits paid back duly till now,car(used),3812,"[100,500DM]",<1year,1,female:divorced/separated/married,none,4,car or other,23,none,own,1,1,1,yes,yes,0
no checking account,11,critical account,radio/television,1154,"[100,500DM]",unemployed,4,female:divorced/separated/married,none,4,real estate,57,none,own,3,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,1657,<100DM,"[1,4years]",2,male:single,none,2,real estate,27,none,own,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,radio/television,1603,<100DM,>=7years,4,female:divorced/separated/married,none,4,car or other,55,none,own,1,0,1,no,yes,0
<0DM,18,critical account,car(new),5302,<100DM,>=7years,2,male:single,none,4,no property,36,none,for free,3,0,1,yes,yes,0
no checking account,12,critical account,education,2748,<100DM,>=7years,2,female:divorced/separated/married,none,4,no property,57, bank,for free,3,0,1,no,yes,0
no checking account,10,critical account,car(new),1231,<100DM,>=7years,3,male:single,none,4,real estate,32,none,own,2,0,2,no,no,0
"[0DM,200DM]",15,existing credits paid back duly till now,radio/television,802,<100DM,>=7years,4,male:single,none,3,car or other,37,none,own,1,0,2,no,yes,1
no checking account,36,critical account,business,6304,unknown,>=7years,4,male:single,none,4,real estate,36,none,own,2,0,1,no,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,1533,<100DM,<1year,4,female:divorced/separated/married,none,3,car or other,38,stores,own,1,0,1,yes,yes,0
<0DM,14,existing credits paid back duly till now,car(new),8978,<100DM,>=7years,1,male:divorced/separated,none,4,life insurance,45,none,own,1,0,1,yes,no,1
no checking account,24,existing credits paid back duly till now,radio/television,999,unknown,>=7years,4,male:single,none,2,car or other,25,none,own,2,0,1,no,yes,0
no checking account,18,existing credits paid back duly till now,car(new),2662,unknown,"[4,7years]",4,male:single,none,3,life insurance,32,none,own,1,0,1,no,no,0
no checking account,12,critical account,furniture/equipment,1402,"[500,1000DM]","[4,7years]",3,female:divorced/separated/married,none,4,car or other,37,none,rent,1,0,1,yes,yes,0
"[0DM,200DM]",48,all credits at this bank paid back duly,car(new),12169,unknown,unemployed,4,male:single,co-applicant,4,no property,36,none,for free,1,0,1,yes,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,radio/television,3060,<100DM,"[4,7years]",4,male:single,none,4,real estate,28,none,own,2,0,1,no,yes,1
<0DM,30,existing credits paid back duly till now,repairs,11998,<100DM,<1year,1,male:divorced/separated,none,1,no property,34,none,own,1,0,1,yes,yes,1
no checking account,9,existing credits paid back duly till now,radio/television,2697,<100DM,"[1,4years]",1,male:single,none,2,real estate,32,none,own,1,0,2,no,yes,0
no checking account,18,critical account,radio/television,2404,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,car or other,26,none,own,2,0,1,no,yes,0
<0DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown,>=7years,2,male:divorced/separated,none,4,life insurance,49,none,own,1,0,1,yes,yes,0
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,<100DM,<1year,1,female:divorced/separated/married,none,4,life insurance,32,none,own,1,0,1,no,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1901,"[100,500DM]","[1,4years]",4,male:single,none,4,car or other,29,none,rent,1,0,1,yes,yes,0
no checking account,15,critical account,car(used),3368,>=1000DM,>=7years,3,male:single,none,4,no property,23,none,rent,2,1,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,<100DM,"[1,4years]",4,male:single,none,2,real estate,50,none,own,1,0,1,no,yes,0
>=200DM,18,all credits at this bank paid back duly,radio/television,1445,unknown,"[4,7years]",4,male:single,none,4,car or other,49, bank,own,1,0,1,no,yes,0
no checking account,15,critical account,furniture/equipment,1520,unknown,>=7years,4,male:single,none,4,life insurance,63,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,critical account,car(new),3878,"[100,500DM]",<1year,4,male:divorced/separated,none,2,car or other,37,none,own,1,0,1,yes,yes,0
<0DM,47,existing credits paid back duly till now,car(new),10722,<100DM,<1year,1,female:divorced/separated/married,none,1,real estate,35,none,own,1,0,1,yes,yes,0
<0DM,48,existing credits paid back duly till now,car(used),4788,<100DM,"[4,7years]",4,male:single,none,3,life insurance,26,none,own,1,1,2,no,yes,0
"[0DM,200DM]",48,delay in paying off in the past,car(used)0,7582,"[100,500DM]",unemployed,2,male:single,none,4,no property,31,none,for free,1,0,1,yes,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1092,<100DM,"[1,4years]",4,female:divorced/separated/married,guarantor,4,real estate,49,none,own,2,0,1,yes,yes,0
<0DM,24,delay in paying off in the past,radio/television,1024,<100DM,<1year,4,male:married/widowed,none,4,real estate,48,stores,own,1,0,1,no,yes,1
no checking account,12,existing credits paid back duly till now,business,1076,<100DM,"[1,4years]",2,male:married/widowed,none,2,real estate,26,none,own,1,0,1,yes,no,0
"[0DM,200DM]",36,existing credits paid back duly till now,car(used),9398,<100DM,<1year,1,male:married/widowed,none,4,car or other,28,none,rent,1,1,1,yes,yes,1
<0DM,24,critical account,car(used),6419,<100DM,>=7years,2,female:divorced/separated/married,none,4,no property,44,none,for free,2,1,2,yes,yes,0
>=200DM,42,critical account,car(used),4796,<100DM,>=7years,4,male:single,none,4,no property,56,none,for free,1,1,1,no,yes,0
no checking account,48,critical account,business,7629,unknown,>=7years,4,male:divorced/separated,none,2,car or other,46, bank,own,2,0,2,no,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,furniture/equipment,9960,<100DM,<1year,1,female:divorced/separated/married,none,2,car or other,26,none,own,1,0,1,yes,yes,1
no checking account,12,existing credits paid back duly till now,car(used),4675,unknown,<1year,1,female:divorced/separated/married,none,4,car or other,20,none,rent,1,1,1,no,yes,0
no checking account,10,existing credits paid back duly till now,car(new),1287,unknown,>=7years,4,male:single,co-applicant,2,life insurance,45,none,own,1,0,1,no,no,0
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,<100DM,"[1,4years]",3,male:single,none,4,real estate,43,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",21,critical account,furniture/equipment,2745,>=1000DM,"[4,7years]",3,male:single,none,2,car or other,32,none,own,2,0,1,yes,yes,0
no checking account,6,existing credits paid back duly till now,car(new),672,<100DM,unemployed,1,female:divorced/separated/married,none,4,real estate,54,none,own,1,0,1,yes,yes,0
"[0DM,200DM]",36,nocreditstaken,radio/television,3804,<100DM,"[1,4years]",4,female:divorced/separated/married,none,1,car or other,42,none,own,1,0,1,yes,yes,1
>=200DM,24,critical account,car(new),1344,unknown,"[4,7years]",4,male:single,none,2,real estate,37, bank,own,2,0,2,no,yes,1
<0DM,10,critical account,car(new),1038,<100DM,"[4,7years]",4,male:single,co-applicant,3,life insurance,49,none,own,2,0,1,yes,yes,0
no checking account,48,critical account,car(new),10127,"[500,1000DM]","[1,4years]",2,male:single,none,2,no property,44, bank,for free,1,0,1,no,yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,>=1000DM,"[1,4years]",4,male:divorced/separated,none,2,real estate,33,none,own,1,0,1,no,yes,0
no checking account,30,existing credits paid back duly till now,car(used),4811,unknown,"[4,7years]",2,female:divorced/separated/married,none,4,life insurance,24,stores,rent,1,1,1,no,yes,0
<0DM,12,existing credits paid back duly till now,radio/television,727,"[100,500DM]",<1year,4,male:married/widowed,none,3,no property,33,none,own,1,0,1,yes,yes,1
"[0DM,200DM]",8,existing credits paid back duly till now,furniture/equipment,1237,<100DM,"[1,4years]",3,female:divorced/separated/married,none,4,real estate,24,none,own,1,0,1,no,yes,1
"[0DM,200DM]",9,existing credits paid back duly till now,car(new),276,<100DM,"[1,4years]",4,male:married/widowed,none,4,real estate,22,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,car(used)0,5381,unknown,unemployed,3,male:single,none,4,no property,40, bank,for free,1,0,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,"[100,500DM]","[1,4years]",4,male:single,none,1,car or other,25,stores,own,1,0,1,no,yes,0
>=200DM,24,existing credits paid back duly till now,furniture/equipment,3749,<100DM,<1year,2,female:divorced/separated/married,none,4,car or other,26,none,own,1,0,1,no,yes,0
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),685,<100DM,"[4,7years]",2,male:married/widowed,none,3,car or other,25, bank,own,1,0,1,no,yes,1
>=200DM,4,existing credits paid back duly till now,car(new),1494,unknown,<1year,1,male:single,none,2,real estate,29,none,own,1,0,2,no,no,0
<0DM,36,all credits at this bank paid back duly,furniture/equipment,2746,<100DM,>=7years,4,male:single,none,4,car or other,31, bank,own,1,0,1,no,yes,1
<0DM,12,existing credits paid back duly till now,furniture/equipment,708,<100DM,"[1,4years]",2,male:single,guarantor,3,life insurance,38,none,own,1,0,2,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,furniture/equipment,4351,unknown,"[1,4years]",1,female:divorced/separated/married,none,4,life insurance,48,none,own,1,0,1,yes,yes,0
no checking account,12,critical account,education,701,<100DM,"[1,4years]",4,male:single,none,2,car or other,32,none,own,2,0,1,no,yes,0
<0DM,15,delay in paying off in the past,furniture/equipment,3643,<100DM,>=7years,1,female:divorced/separated/married,none,4,life insurance,27,none,own,2,0,1,no,yes,0
"[0DM,200DM]",30,critical account,car(new),4249,<100DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,radio/television,1938,<100DM,<1year,4,male:divorced/separated,none,3,life insurance,32,none,own,1,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,car(used),2910,<100DM,"[4,7years]",2,male:single,none,1,no property,34,none,for free,1,1,1,yes,yes,0
<0DM,18,existing credits paid back duly till now,furniture/equipment,2659,>=1000DM,"[1,4years]",4,male:single,none,2,car or other,28,none,own,1,0,1,no,yes,0
no checking account,18,critical account,car(new),1028,<100DM,"[1,4years]",4,female:divorced/separated/married,none,3,real estate,36,none,own,2,0,1,no,yes,0
<0DM,8,critical account,car(new),3398,<100DM,"[4,7years]",1,male:single,none,4,real estate,39,none,own,2,0,1,no,no,0
no checking account,12,critical account,furniture/equipment,5801,unknown,>=7years,2,male:single,none,4,life insurance,49,none,rent,1,0,1,yes,yes,0
no checking account,24,existing credits paid back duly till now,car(new),1525,>=1000DM,"[4,7years]",4,female:divorced/separated/married,none,3,car or other,34,none,own,1,0,2,yes,yes,0
>=200DM,36,existing credits paid back duly till now,radio/television,4473,<100DM,>=7years,4,male:single,none,2,car or other,31,none,own,1,0,1,no,yes,0
"[0DM,200DM]",6,existing credits paid back duly till now,radio/television,1068,<100DM,>=7years,4,male:single,none,4,car or other,28,none,own,1,0,2,no,yes,0
<0DM,24,critical account,car(used),6615,<100DM,unemployed,2,male:single,none,4,no property,75,none,for free,2,1,1,yes,yes,0
no checking account,18,critical account,education,1864,"[100,500DM]","[1,4years]",4,female:divorced/separated/married,none,2,real estate,30,none,own,2,0,1,no,yes,1
"[0DM,200DM]",60,existing credits paid back duly till now,car(new),7408,"[100,500DM]",<1year,4,female:divorced/separated/married,none,2,life insurance,24,none,own,1,0,1,no,yes,1
no checking account,48,critical account,car(used),11590,"[100,500DM]","[1,4years]",2,female:divorced/separated/married,none,4,car or other,24, bank,rent,2,1,1,no,yes,1
<0DM,24,nocreditstaken,furniture/equipment,4110,<100DM,>=7years,3,male:single,none,4,no property,23, bank,rent,2,0,2,no,yes,1
<0DM,6,critical account,furniture/equipment,3384,<100DM,"[1,4years]",1,male:divorced/separated,none,4,real estate,44,none,rent,1,0,1,yes,yes,1
"[0DM,200DM]",13,existing credits paid back duly till now,radio/television,2101,<100DM,<1year,2,female:divorced/separated/married,guarantor,4,life insurance,23,none,own,1,0,1,no,yes,0
<0DM,15,existing credits paid back duly till now,domesticappliances,1275,unknown,"[1,4years]",4,female:divorced/separated/married,none,2,car or other,24,none,rent,1,0,1,no,yes,1
<0DM,24,existing credits paid back duly till now,furniture/equipment,4169,<100DM,"[1,4years]",4,male:single,none,4,life insurance,28,none,own,1,0,1,no,yes,0
"[0DM,200DM]",10,existing credits paid back duly till now,furniture/equipment,1521,<100DM,"[1,4years]",4,male:divorced/separated,none,2,car or other,31,none,own,1,0,1,no,yes,0
"[0DM,200DM]",24,critical account,education,5743,<100DM,<1year,2,female:divorced/separated/married,none,4,no property,24,none,for free,2,0,1,yes,yes,0
<0DM,21,existing credits paid back duly till now,furniture/equipment,3599,<100DM,"[4,7years]",1,female:divorced/separated/married,none,4,car or other,26,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,radio/television,3213,"[500,1000DM]",<1year,1,male:married/widowed,none,3,real estate,25,none,rent,1,0,1,no,yes,0
"[0DM,200DM]",18,existing credits paid back duly till now,business,4439,<100DM,>=7years,1,male:single,co-applicant,1,real estate,33, bank,own,1,0,1,yes,yes,0
>=200DM,10,existing credits paid back duly till now,car(new),3949,<100DM,<1year,1,male:single,guarantor,1,life insurance,37,none,own,1,0,2,no,yes,0
no checking account,15,critical account,radio/television,1459,<100DM,"[1,4years]",4,female:divorced/separated/married,none,2,car or other,43,none,own,1,0,1,no,yes,0
"[0DM,200DM]",13,critical account,radio/television,882,<100DM,<1year,4,male:single,guarantor,4,real estate,23,none,own,2,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,radio/television,3758,"[500,1000DM]",unemployed,1,female:divorced/separated/married,none,4,no property,23,none,rent,1,0,1,no,yes,0
no checking account,6,delay in paying off in the past,business,1743,"[100,500DM]","[1,4years]",1,male:single,none,2,real estate,34,none,own,2,0,1,no,yes,0
"[0DM,200DM]",9,critical account,education,1136,>=1000DM,>=7years,4,male:single,none,3,no property,32,none,for free,2,0,2,no,yes,1
no checking account,9,existing credits paid back duly till now,domesticappliances,1236,<100DM,<1year,1,female:divorced/separated/married,none,4,real estate,23,none,rent,1,0,1,yes,yes,0
"[0DM,200DM]",9,existing credits paid back duly till now,furniture/equipment,959,<100DM,"[1,4years]",1,female:divorced/separated/married,none,2,car or other,29,none,own,1,0,1,no,no,1
no checking account,18,critical account,car(used),3229,unknown,unemployed,2,male:single,none,4,no property,38,none,own,1,1,1,yes,yes,0
<0DM,12,nocreditstaken,radio/television,6199,<100DM,"[1,4years]",4,male:single,none,2,life insurance,28,none,rent,2,0,1,yes,yes,1
no checking account,10,existing credits paid back duly till now,education,727,"[500,1000DM]",>=7years,4,male:single,none,4,no property,46,none,for free,1,0,1,yes,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,car(new),1246,<100DM,<1year,4,male:single,none,2,real estate,23,stores,own,1,0,1,no,yes,1
no checking account,12,critical account,radio/television,2331,unknown,>=7years,1,male:single,co-applicant,4,real estate,49,none,own,1,0,1,yes,yes,0
no checking account,36,delay in paying off in the past,radio/television,4463,<100DM,"[1,4years]",4,male:single,none,2,car or other,26,none,own,2,0,1,yes,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,776,<100DM,"[1,4years]",4,male:married/widowed,none,2,real estate,28,none,own,1,0,1,no,yes,0
<0DM,30,existing credits paid back duly till now,furniture/equipment,2406,<100DM,"[4,7years]",4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,0,1,no,yes,1
"[0DM,200DM]",18,existing credits paid back duly till now,education,1239,unknown,"[1,4years]",4,male:single,none,4,no property,61,none,for free,1,0,1,no,yes,0
>=200DM,12,existing credits paid back duly till now,radio/television,3399,unknown,>=7years,2,male:single,none,3,car or other,37,none,own,1,0,1,no,yes,0
>=200DM,12,delay in paying off in the past,car(new),2247,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,car or other,36,stores,own,2,0,1,yes,yes,0
no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,<100DM,"[1,4years]",1,male:married/widowed,none,2,life insurance,21,none,rent,1,0,1,no,yes,0
<0DM,18,existing credits paid back duly till now,furniture/equipment,2473,<100DM,unemployed,4,male:single,none,1,car or other,25,none,own,1,0,1,no,yes,1
no checking account,12,existing credits paid back duly till now,business,1542,<100DM,"[4,7years]",2,male:single,none,4,car or other,36,none,own,1,0,1,yes,yes,0
no checking account,18,critical account,car(used),3850,<100DM,"[4,7years]",3,male:single,none,1,car or other,27,none,own,2,1,1,no,yes,0
<0DM,18,existing credits paid back duly till now,furniture/equipment,3650,<100DM,<1year,1,female:divorced/separated/married,none,4,car or other,22,none,rent,1,0,1,no,yes,0
